"datazone","child_pov_pc"
"S01001426",8.3
"S01001427",2.6
"S01001428",30.3
"S01001429",14.8
"S01001430",5.6
"S01001431",4.1
"S01001432",3.9
"S01001433",5.3
"S01001434",1.9
"S01001435",10.6
"S01001436",4.9
"S01001437",4.8
"S01001438",NA
"S01001439",3.1
"S01001440",5.5
"S01001441",3.8
"S01001442",9.1
"S01001443",5.4
"S01001444",8.5
"S01001445",8
"S01001446",NA
"S01001447",5
"S01001448",14.6
"S01001449",5.8
"S01001450",NA
"S01001451",5.8
"S01001452",NA
"S01001453",3.2
"S01001454",9.8
"S01001455",4.8
"S01001456",NA
"S01001457",3.5
"S01001458",3.9
"S01001459",8.3
"S01001460",4.4
"S01001461",10
"S01001462",NA
"S01001463",5.9
"S01001464",2.2
"S01001465",4.9
"S01001466",4.3
"S01001467",3.4
"S01001468",3
"S01001469",5.8
"S01001470",2.3
"S01001471",NA
"S01001472",5
"S01001473",NA
"S01001474",10.9
"S01001475",NA
"S01001476",1.9
"S01001477",9.9
"S01001478",NA
"S01001479",12.2
"S01001480",NA
"S01001481",4.1
"S01001482",44.2
"S01001483",1.7
"S01001484",NA
"S01001485",NA
"S01001486",4.1
"S01001487",18.1
"S01001488",10.4
"S01001489",2.1
"S01001490",21.3
"S01001491",NA
"S01001492",22
"S01001493",2.9
"S01001494",23.7
"S01001495",4.4
"S01001496",NA
"S01001497",17.1
"S01001498",5.4
"S01001499",7.7
"S01001500",31.5
"S01001501",NA
"S01001502",6.5
"S01001503",9.4
"S01001504",15.2
"S01001505",2.2
"S01001506",13
"S01001507",NA
"S01001508",2.3
"S01001509",28.7
"S01001510",11.3
"S01001511",NA
"S01001512",42.3
"S01001513",38.3
"S01001514",11.2
"S01001515",2.4
"S01001516",14.3
"S01001517",25
"S01001518",22.8
"S01001519",NA
"S01001520",29.9
"S01001521",9
"S01001522",20.5
"S01001523",2.7
"S01001524",16.1
"S01001525",13.2
"S01001526",6.4
"S01001527",15.5
"S01001528",5.5
"S01001529",4.4
"S01001530",19.8
"S01001531",13.5
"S01001532",4.1
"S01001533",NA
"S01001534",3.8
"S01001535",9.7
"S01001536",30.5
"S01001537",27.4
"S01001538",5.3
"S01001539",NA
"S01001540",5.3
"S01001541",9.7
"S01001542",18.9
"S01001543",12.6
"S01001544",16.5
"S01001545",3.6
"S01001546",34.4
"S01001547",28.9
"S01001548",7.3
"S01001549",7.5
"S01001550",2.3
"S01001551",11.5
"S01001552",16.4
"S01001553",7.7
"S01001554",NA
"S01001555",28
"S01001556",17.7
"S01001557",4.9
"S01001558",17.9
"S01001559",25.6
"S01001560",20.1
"S01001561",12.1
"S01001562",11.8
"S01001563",5.6
"S01001564",11.7
"S01001565",17.8
"S01001566",10.9
"S01001567",5.9
"S01001568",5.8
"S01001569",5
"S01001570",5.2
"S01001571",31.6
"S01001572",7.1
"S01001573",12.4
"S01001574",32.2
"S01001575",22.4
"S01001576",17.8
"S01001577",9
"S01001578",15
"S01001579",25.1
"S01001580",11.3
"S01001581",3.9
"S01001582",20.1
"S01001583",22.9
"S01001584",13.7
"S01001585",20.8
"S01001586",NA
"S01001587",26.5
"S01001588",32.9
"S01001589",18.8
"S01001590",12
"S01001591",26.2
"S01001592",29.5
"S01001593",19
"S01001594",15.5
"S01001595",44.9
"S01001596",18.2
"S01001597",13.3
"S01001598",7.4
"S01001599",16.8
"S01001600",23.8
"S01001601",6.5
"S01001602",7.1
"S01001603",23.3
"S01001604",36.2
"S01001605",13.6
"S01001606",22.7
"S01001607",10.2
"S01001608",2.5
"S01001609",19.7
"S01001610",13
"S01001611",9.2
"S01001612",5.3
"S01001613",34
"S01001614",17.5
"S01001615",22.5
"S01001616",NA
"S01001617",33.3
"S01001618",8
"S01001619",26.8
"S01001620",13.2
"S01001621",24.5
"S01001622",22.6
"S01001623",8.8
"S01001624",15.7
"S01001625",35.4
"S01001626",15.8
"S01001627",16.4
"S01001628",24
"S01001629",8.5
"S01001630",29.8
"S01001631",10.8
"S01001632",9
"S01001633",NA
"S01001634",4
"S01001635",11.7
"S01001636",NA
"S01001637",8.6
"S01001638",15.8
"S01001639",16.4
"S01001640",NA
"S01001641",3
"S01001642",5.8
"S01001643",13.6
"S01001644",8.4
"S01001645",5.9
"S01001646",NA
"S01001647",10.8
"S01001648",11.7
"S01001649",21.1
"S01001650",17.5
"S01001651",11
"S01001652",4
"S01001653",26.1
"S01001654",5.5
"S01001655",6.1
"S01001656",10.5
"S01001657",12.1
"S01001658",8.9
"S01001659",2.6
"S01001660",4.3
"S01001661",7
"S01001662",19.4
"S01001663",1.5
"S01001664",5.8
"S01001665",NA
"S01001666",10.4
"S01001667",3.9
"S01001668",3.7
"S01001669",18.8
"S01001670",4.1
"S01001671",4.3
"S01001672",20
"S01001673",7.1
"S01001674",12.6
"S01001675",3.4
"S01001676",2.7
"S01001677",2.9
"S01001678",2.5
"S01001679",1.9
"S01001680",NA
"S01001681",NA
"S01001682",3.2
"S01001683",5.1
"S01001684",3.1
"S01001685",14.4
"S01001686",4
"S01001687",4.3
"S01001688",4.8
"S01001689",2
"S01001690",10.4
"S01001691",NA
"S01001692",17.8
"S01001693",7.2
"S01001694",4.7
"S01001695",7.2
"S01001696",11
"S01001697",12.9
"S01001698",13.6
"S01001699",1.9
"S01001700",1.9
"S01001701",12.9
"S01001702",3.9
"S01001703",9.2
"S01001704",7.3
"S01001705",3.6
"S01001706",4.2
"S01001707",19.3
"S01001708",8.1
"S01001709",4.8
"S01001710",8.1
"S01001711",3.5
"S01001712",11.4
"S01001713",11.4
"S01001714",NA
"S01001715",6.6
"S01001716",31
"S01001717",1.5
"S01001718",2.3
"S01001719",1.4
"S01001720",8.2
"S01001721",7.6
"S01001722",3.3
"S01001723",4.2
"S01001724",46.2
"S01001725",24.6
"S01001726",NA
"S01001727",1.9
"S01001728",5
"S01001729",2.9
"S01001730",5.6
"S01001731",NA
"S01001732",7.6
"S01001733",9.1
"S01001734",3.2
"S01001735",NA
"S01001736",NA
"S01001737",4
"S01001738",NA
"S01001739",3.1
"S01001740",5.6
"S01001741",37.9
"S01001742",34.5
"S01001743",30.9
"S01001744",4.9
"S01001745",4.7
"S01001746",1.5
"S01001747",19.7
"S01001748",7.8
"S01001749",25.2
"S01001750",16.4
"S01001751",23.3
"S01001752",2.4
"S01001753",37.5
"S01001754",NA
"S01001755",6.3
"S01001756",NA
"S01001757",9.9
"S01001758",3
"S01001759",33.3
"S01001760",9.7
"S01001761",32.9
"S01001762",NA
"S01001763",NA
"S01001764",NA
"S01001765",13.9
"S01001766",7.7
"S01001767",5.1
"S01001768",9.8
"S01001769",8.1
"S01001770",38.6
"S01001771",13.8
"S01001772",5.3
"S01001773",21.2
"S01001774",7.3
"S01001775",5
"S01001776",14.4
"S01001777",1.2
"S01001778",29.7
"S01001779",4.7
"S01001780",9
"S01001781",6
"S01001782",3.2
"S01001783",57
"S01001784",10.5
"S01001785",3.1
"S01001786",3.4
"S01001787",7.1
"S01001788",5.9
"S01001789",23.5
"S01001790",NA
"S01001791",7.5
"S01001792",4.4
"S01001793",2.9
"S01001794",10.5
"S01001795",2.3
"S01001796",NA
"S01001797",15.6
"S01001798",NA
"S01001799",52.3
"S01001800",5.9
"S01001801",2.7
"S01001802",17.2
"S01001803",8.8
"S01001804",14.2
"S01001805",13.8
"S01001806",4.9
"S01001807",3.4
"S01001808",34.9
"S01001809",38.5
"S01001810",9.6
"S01001811",3.3
"S01001812",1.8
"S01001813",3.5
"S01001814",3.5
"S01001815",4.6
"S01001816",2.2
"S01001817",34
"S01001818",2.2
"S01001819",NA
"S01001820",55.8
"S01001821",4.4
"S01001822",13.5
"S01001823",45
"S01001824",23.4
"S01001825",6.1
"S01001826",48.1
"S01001827",38
"S01001828",3.3
"S01001829",3.7
"S01001830",2.9
"S01001831",17
"S01001832",33.3
"S01001833",1.7
"S01001834",19.2
"S01001835",3
"S01001836",4.8
"S01001837",4.2
"S01001838",29.7
"S01001839",41.6
"S01001840",3.8
"S01001841",21.1
"S01001842",9.9
"S01001843",31.3
"S01001844",4.2
"S01001845",1.5
"S01001846",3.9
"S01001847",36.3
"S01001848",25.2
"S01001849",3.7
"S01001850",22.2
"S01001851",8.4
"S01001852",2.7
"S01001853",NA
"S01001854",4.4
"S01001855",5
"S01001856",41.8
"S01001857",17.1
"S01001858",6.3
"S01001859",36.9
"S01001860",1.5
"S01001861",40
"S01001862",3.3
"S01001863",NA
"S01001864",37
"S01001865",39
"S01001866",NA
"S01001867",27.8
"S01001868",8
"S01001869",12.1
"S01001870",39.8
"S01001871",9.6
"S01001872",27.4
"S01001873",1.7
"S01001874",52.8
"S01001875",NA
"S01001876",21.5
"S01001877",47.4
"S01001878",3.9
"S01001879",46.6
"S01001880",46.9
"S01001881",5.7
"S01001882",15.6
"S01001883",6.9
"S01001884",27.3
"S01001885",2.6
"S01001886",50.6
"S01001887",16.2
"S01001888",1.5
"S01001889",8.7
"S01001890",31.6
"S01001891",17.4
"S01001892",40.9
"S01001893",37.3
"S01001894",56.6
"S01001895",38.6
"S01001896",1.5
"S01001897",50.2
"S01001898",29.9
"S01001899",32.5
"S01001900",17.3
"S01001901",1.5
"S01001902",NA
"S01001903",42.4
"S01001904",13.3
"S01001905",1.7
"S01001906",38.5
"S01001907",29.4
"S01001908",7.2
"S01001909",47.1
"S01001910",26.3
"S01001911",3
"S01001912",20
"S01001913",7.4
"S01001914",NA
"S01001915",1.6
"S01001916",NA
"S01001917",NA
"S01001918",9.6
"S01001919",21.4
"S01001920",17.2
"S01001921",23.7
"S01001922",8.6
"S01001923",22.1
"S01001924",3.8
"S01001925",NA
"S01001926",41.4
"S01001927",4
"S01001928",NA
"S01001929",2.1
"S01001930",6.1
"S01001931",37
"S01001932",41.5
"S01001933",NA
"S01001934",10.9
"S01001935",47.4
"S01001936",6.5
"S01001937",24.3
"S01001938",5.8
"S01001939",NA
"S01001940",7
"S01001941",4.1
"S01001942",11.2
"S01001943",45
"S01001944",NA
"S01001945",5.3
"S01001946",37.2
"S01001947",4.8
"S01001948",53.3
"S01001949",44.2
"S01001950",19.8
"S01001951",16.5
"S01001952",1.9
"S01001953",NA
"S01001954",19.8
"S01001955",39.7
"S01001956",35.9
"S01001957",55.2
"S01001958",30.3
"S01001959",21.3
"S01001960",4.5
"S01001961",3.4
"S01001962",30.4
"S01001963",23.7
"S01001964",NA
"S01001965",51.8
"S01001966",47.5
"S01001967",20.3
"S01001968",5.3
"S01001969",22.5
"S01001970",NA
"S01001971",36.6
"S01001972",3.7
"S01001973",7.1
"S01001974",NA
"S01001975",NA
"S01001976",6.7
"S01001977",25.9
"S01001978",43.1
"S01001979",5
"S01001980",10.6
"S01001981",5.6
"S01001982",67.1
"S01001983",10.3
"S01001984",38
"S01001985",28.4
"S01001986",17.6
"S01001987",7.3
"S01001988",21.3
"S01001989",4.3
"S01001990",NA
"S01001991",26.5
"S01001992",7.3
"S01001993",NA
"S01001994",7.9
"S01001995",5.3
"S01001996",14.6
"S01001997",28.6
"S01001998",22.3
"S01001999",10.2
"S01002000",26.6
"S01002001",14.8
"S01002002",NA
"S01002003",14.2
"S01002004",8.5
"S01002005",30.1
"S01002006",23.1
"S01002007",10.3
"S01002008",6.8
"S01002009",3.6
"S01002010",6.8
"S01002011",4.9
"S01002012",14.3
"S01002013",3.4
"S01002014",6.3
"S01002015",NA
"S01002016",14
"S01002017",49.8
"S01002018",12.8
"S01002019",5.8
"S01002020",NA
"S01002021",19.8
"S01002022",13.2
"S01002023",3.7
"S01002024",4.7
"S01002025",8.3
"S01002026",8.4
"S01002027",26.3
"S01002028",16
"S01002029",7.4
"S01002030",14.3
"S01002031",50
"S01002032",7.5
"S01002033",16
"S01002034",16.9
"S01002035",10.1
"S01002036",27.3
"S01002037",9.1
"S01002038",8.2
"S01002039",10.3
"S01002040",15
"S01002041",13.7
"S01002042",10.4
"S01002043",14.3
"S01002044",46.3
"S01002045",16.3
"S01002046",25.8
"S01002047",6
"S01002048",23.5
"S01002049",17
"S01002050",9.1
"S01002051",27.9
"S01002052",26.5
"S01002053",5.2
"S01002054",14.6
"S01002055",7.9
"S01002056",19.6
"S01002057",3.9
"S01002058",25.8
"S01002059",45.7
"S01002060",46.2
"S01002061",26.2
"S01002062",38
"S01002063",22.5
"S01002064",39
"S01002065",23
"S01002066",44.6
"S01002067",16.7
"S01002068",31.7
"S01002069",NA
"S01002070",28.6
"S01002071",10.3
"S01002072",4.2
"S01002073",21.1
"S01002074",5.3
"S01002075",19.4
"S01002076",30.8
"S01002077",15.1
"S01002078",8.5
"S01002079",39.5
"S01002080",2.3
"S01002081",33.8
"S01002082",10.3
"S01002083",27.5
"S01002084",35.6
"S01002085",27.8
"S01002086",25
"S01002087",43.5
"S01002088",9.8
"S01002089",2.7
"S01002090",7.3
"S01002091",34.8
"S01002092",NA
"S01002093",41.7
"S01002094",19.7
"S01002095",5.5
"S01002096",2.4
"S01002097",2.6
"S01002098",18.8
"S01002099",9.3
"S01002100",17.9
"S01002101",29.7
"S01002102",43.9
"S01002103",NA
"S01002104",47.5
"S01002105",NA
"S01002106",50
"S01002107",10.6
"S01002108",57.7
"S01002109",13.6
"S01002110",5
"S01002111",6.2
"S01002112",8
"S01002113",NA
"S01002114",NA
"S01002115",NA
"S01002116",21.8
"S01002117",22.2
"S01002118",21.4
"S01002119",23.9
"S01002120",11.3
"S01002121",6.8
"S01002122",NA
"S01002123",3.7
"S01002124",9.9
"S01002125",8
"S01002126",4.9
"S01002127",14.1
"S01002128",NA
"S01002129",29.8
"S01002130",11.3
"S01002131",14.3
"S01002132",20.3
"S01002133",6.5
"S01002134",NA
"S01002135",1.5
"S01002136",4.8
"S01002137",16.2
"S01002138",18.4
"S01002139",7.6
"S01002140",33.8
"S01002141",16.2
"S01002142",6.3
"S01002143",13
"S01002144",2.5
"S01002145",3.5
"S01002146",11.7
"S01002147",31.3
"S01002148",1.7
"S01002149",39
"S01002150",15.8
"S01002151",24.5
"S01002152",9.1
"S01002153",4.9
"S01002154",33.8
"S01002155",46.2
"S01002156",6
"S01002157",2.3
"S01002158",NA
"S01002159",6.3
"S01002160",30.4
"S01002161",14.6
"S01002162",20.9
"S01002163",18.1
"S01002164",27
"S01002165",13.6
"S01002166",11.7
"S01002167",17.2
"S01002168",11.3
"S01002169",23.8
"S01002170",21.3
"S01002171",20
"S01002172",12.7
"S01002173",13.8
"S01002174",12.6
"S01002175",11.6
"S01002176",14.5
"S01002177",13.8
"S01002178",7.7
"S01002179",NA
"S01002180",9.8
"S01002181",34.9
"S01002182",7.4
"S01002183",10.4
"S01002184",NA
"S01002185",32.3
"S01002186",8.3
"S01002187",6.5
"S01002188",7.5
"S01002189",12.5
"S01002190",10.9
"S01002191",39.2
"S01002192",13.4
"S01002193",1.4
"S01002194",20.1
"S01002195",9
"S01002196",12.9
"S01002197",36.7
"S01002198",12.2
"S01002199",6.4
"S01002200",NA
"S01002201",7.1
"S01002202",22.7
"S01002203",24.2
"S01002204",29.5
"S01002205",5.7
"S01002206",17
"S01002207",11.9
"S01002208",12.3
"S01002209",15.7
"S01002210",NA
"S01002211",44.4
"S01002212",36.8
"S01002213",23.4
"S01002214",8.5
"S01002215",4.5
"S01002216",26.1
"S01002217",26.6
"S01002218",8.9
"S01002219",2.2
"S01002220",5.3
"S01002221",33.3
"S01002222",5.3
"S01002223",NA
"S01002224",2.4
"S01002225",9.2
"S01002226",5.7
"S01002227",34.4
"S01002228",6.2
"S01002229",12.3
"S01002230",8.9
"S01002231",11.9
"S01002232",24.8
"S01002233",26.9
"S01002234",31.9
"S01002235",10.6
"S01002236",28.2
"S01002237",8.1
"S01002238",36.9
"S01002239",39.6
"S01002240",28.7
"S01002241",31.4
"S01002242",4.5
"S01002243",25.7
"S01002244",23
"S01002245",18.4
"S01002246",34.1
"S01002247",43.7
"S01002248",2.1
"S01002249",30.2
"S01002250",13.6
"S01002251",2.5
"S01002252",6.5
"S01002253",26.3
"S01002254",25.9
"S01002255",14.6
"S01002256",4.8
"S01002257",17.5
"S01002258",32.4
"S01002259",12.3
"S01002260",5.6
"S01002261",9.2
"S01002262",6.3
"S01002263",3.9
"S01002264",8.3
"S01002265",32.2
"S01002266",26.5
"S01002267",46.8
"S01002268",10.3
"S01002269",8.8
"S01002270",32.3
"S01002271",10.6
"S01002272",17.2
"S01002273",24.8
"S01002274",29.5
"S01002275",29.8
"S01002276",1.7
"S01002277",44.5
"S01002278",43
"S01002279",57
"S01002280",3
"S01002281",42.4
"S01002282",46.2
"S01002283",6.5
"S01002284",24.3
"S01002285",42.9
"S01002286",3.4
"S01002287",3.3
"S01002288",36.7
"S01002289",28.3
"S01002290",52.5
"S01002291",58.5
"S01002292",28.7
"S01002293",33.9
"S01002294",8.8
"S01002295",6.4
"S01002296",19
"S01002297",15.1
"S01002298",10.4
"S01002299",8.1
"S01002300",2.3
"S01002301",31.3
"S01002302",39.4
"S01002303",35.8
"S01002304",25.8
"S01002305",49.1
"S01002306",38.1
"S01002307",23.8
"S01002308",3.1
"S01002309",20.6
"S01002310",32.6
"S01002311",5.9
"S01002312",37.3
"S01002313",NA
"S01002314",5.5
"S01002315",7.4
"S01002316",2.8
"S01002317",30.5
"S01002318",39.9
"S01002319",35.3
"S01002320",NA
"S01002321",45.9
"S01002322",8.1
"S01002323",10
"S01002324",47.8
"S01002325",26.4
"S01002326",24.4
"S01002327",11.2
"S01002328",8.5
"S01002329",7.6
"S01002330",22.4
"S01002331",18.8
"S01002332",2
"S01002333",3.7
"S01002334",4.3
"S01002335",11.2
"S01002336",6.3
"S01002337",4.6
"S01002338",30.1
"S01002339",6.7
"S01002340",2.3
"S01002341",5.5
"S01002342",7.8
"S01002343",8.9
"S01002344",6.5
"S01002345",11
"S01002346",6.6
"S01002347",7
"S01002348",8.3
"S01002349",7.7
"S01002350",13.9
"S01002351",16.5
"S01002352",12.9
"S01002353",3.2
"S01002354",8
"S01002355",17.1
"S01002356",5.1
"S01002357",7.7
"S01002358",16.8
"S01002359",13.2
"S01002360",16.8
"S01002361",10.9
"S01002362",7.5
"S01002363",11.4
"S01002364",28.3
"S01002365",10.1
"S01002366",10.3
"S01002367",10.9
"S01002368",3.6
"S01002369",15.4
"S01002370",14.2
"S01002371",5.3
"S01002372",9.2
"S01002373",12.7
"S01002374",10.6
"S01002375",25.1
"S01002376",30
"S01002377",29.3
"S01002378",7.2
"S01002379",17.7
"S01002380",24.1
"S01002381",24
"S01002382",35.7
"S01002383",2.8
"S01002384",27
"S01002385",25.8
"S01002386",10
"S01002387",5.7
"S01002388",1.8
"S01002389",2.5
"S01002390",6.8
"S01002391",2.2
"S01002392",3.4
"S01002393",6.6
"S01002394",3.9
"S01002395",6.6
"S01002396",15.5
"S01002397",6.9
"S01002398",NA
"S01002399",18.1
"S01002400",NA
"S01002401",1.3
"S01002402",31.5
"S01002403",35.6
"S01002404",10.8
"S01002405",6.7
"S01002406",21.1
"S01002407",24.6
"S01002408",22.9
"S01002409",4.1
"S01002410",8.3
"S01002411",6.6
"S01002412",7.4
"S01002413",22.1
"S01002414",32.3
"S01002415",28.7
"S01002416",NA
"S01002417",13
"S01002418",19.4
"S01002419",3.4
"S01002420",32.6
"S01002421",2.8
"S01002422",4.6
"S01002423",5.5
"S01002424",13.6
"S01002425",21.3
"S01002426",15.6
"S01002427",14.2
"S01002428",20.5
"S01002429",NA
"S01002430",5.6
"S01002431",19.7
"S01002432",3.7
"S01002433",20
"S01002434",15.5
"S01002435",28.5
"S01002436",31
"S01002437",2.3
"S01002438",30
"S01002439",12.2
"S01002440",17.2
"S01002441",NA
"S01002442",12.9
"S01002443",28.3
"S01002444",39.4
"S01002445",23.3
"S01002446",11.1
"S01002447",30.2
"S01002448",36.1
"S01002449",4.1
"S01002450",21.7
"S01002451",11.2
"S01002452",21.2
"S01002453",10.6
"S01002454",9.2
"S01002455",28
"S01002456",31.7
"S01002457",25.5
"S01002458",39
"S01002459",22.8
"S01002460",32.5
"S01002461",NA
"S01002462",12.1
"S01002463",28.1
"S01002464",21.3
"S01002465",8.4
"S01002466",19.7
"S01002467",20.3
"S01002468",31.6
"S01002469",15.2
"S01002470",27.9
"S01002471",24.4
"S01002472",42.1
"S01002473",32.9
"S01002474",23.1
"S01002475",27.5
"S01002476",4.8
"S01002477",14
"S01002478",20.4
"S01002479",39.2
"S01002480",14
"S01002481",28.3
"S01002482",44.7
"S01002483",35.4
"S01002484",33.3
"S01002485",5.8
"S01002486",43.9
"S01002487",18.4
"S01002488",47.6
"S01002489",41.2
"S01002490",5.7
"S01002491",26.4
"S01002492",6.9
"S01002493",16.9
"S01002494",7.6
"S01002495",21.1
"S01002496",10.4
"S01002497",19.7
"S01002498",NA
"S01002499",8.1
"S01002500",16.8
"S01002501",6.7
"S01002502",44
"S01002503",17.4
"S01002504",4.9
"S01002505",28.5
"S01002506",11.2
"S01002507",17.5
"S01002508",NA
"S01002509",17.4
"S01002510",3.6
"S01002511",15.1
"S01002512",19.6
"S01002513",3.3
"S01002514",21
"S01002515",27.4
"S01002516",7.5
"S01002517",24.6
"S01002518",4.2
"S01002519",36.5
"S01002520",45
"S01002521",22.1
"S01002522",NA
"S01002523",3.1
"S01002524",6.1
"S01002525",36.2
"S01002526",11
"S01002527",7.7
"S01002528",8.8
"S01002529",26.4
"S01002530",24.8
"S01002531",6.8
"S01002532",26.8
"S01002533",44.9
"S01002534",33.5
"S01002535",12.1
"S01002536",50.9
"S01002537",27.3
"S01002538",NA
"S01002539",18.7
"S01002540",34.5
"S01002541",6.1
"S01002542",8.2
"S01002543",36.7
"S01002544",15.6
"S01002545",15
"S01002546",9.9
"S01002547",13.7
"S01002548",16.2
"S01002549",NA
"S01002550",NA
"S01002551",11.4
"S01002552",23
"S01002553",14.8
"S01002554",4.3
"S01002555",4.2
"S01002556",44.1
"S01002557",15.1
"S01002558",23.1
"S01002559",4.7
"S01002560",14.4
"S01002561",18.7
"S01002562",6.5
"S01002563",10
"S01002564",NA
"S01002565",6.9
"S01002566",NA
"S01002567",1.9
"S01002568",13.3
"S01002569",9.2
"S01002570",8.6
"S01002571",6.6
"S01002572",5.2
"S01002573",14.5
"S01002574",28.7
"S01002575",17.9
"S01002576",2.8
"S01002577",38.6
"S01002578",4.7
"S01002579",5.4
"S01002580",37.8
"S01002581",NA
"S01002582",19
"S01002583",25.5
"S01002584",11.5
"S01002585",7.4
"S01002586",20.6
"S01002587",3.9
"S01002588",6.1
"S01002589",NA
"S01002590",6.1
"S01002591",14.2
"S01002592",22.1
"S01002593",27.9
"S01002594",2.5
"S01002595",7.7
"S01002596",4.8
"S01002597",19.2
"S01002598",15
"S01002599",21.4
"S01002600",0.9
"S01002601",10.3
"S01002602",10.2
"S01002603",30.5
"S01002604",8.2
"S01002605",18
"S01002606",32.7
"S01002607",16.4
"S01002608",5.8
"S01002609",27.7
"S01002610",21.7
"S01002611",11.3
"S01002612",7.1
"S01002613",2
"S01002614",5.1
"S01002615",10.5
"S01002616",6
"S01002617",31
"S01002618",37.3
"S01002619",2.5
"S01002620",16.9
"S01002621",8.2
"S01002622",6
"S01002623",6.1
"S01002624",NA
"S01002625",NA
"S01002626",36.7
"S01002627",4.5
"S01002628",NA
"S01002629",6.3
"S01002630",7.7
"S01002631",9.5
"S01002632",10.2
"S01002633",14.1
"S01002634",2.1
"S01002635",5.2
"S01002636",12
"S01002637",24.7
"S01002638",33.7
"S01002639",2.9
"S01002640",3.3
"S01002641",8.1
"S01002642",22.7
"S01002643",17.5
"S01002644",23.7
"S01002645",39
"S01002646",12.2
"S01002647",44.2
"S01002648",5.9
"S01002649",22.1
"S01002650",4.5
"S01002651",28
"S01002652",6.3
"S01002653",15.8
"S01002654",21.6
"S01002655",42.7
"S01002656",27.3
"S01002657",8
"S01002658",10.7
"S01002659",9.9
"S01002660",27.6
"S01002661",9.9
"S01002662",11
"S01002663",12.8
"S01002664",2.3
"S01002665",11.1
"S01002666",11.4
"S01002667",29.2
"S01002668",9.1
"S01002669",19.4
"S01002670",NA
"S01002671",15.1
"S01002672",41.3
"S01002673",16.9
"S01002674",15.3
"S01002675",4
"S01002676",8.8
"S01002677",39.1
"S01002678",10.1
"S01002679",22.9
"S01002680",16.4
"S01002681",5.6
"S01002682",38
"S01002683",12
"S01002684",6.6
"S01002685",42.9
"S01002686",6.8
"S01002687",8.5
"S01002688",2.9
"S01002689",2.9
"S01002690",NA
"S01002691",5.8
"S01002692",5.1
"S01002693",5.9
"S01002694",36
"S01002695",9.2
"S01002696",13.7
"S01002697",9.9
"S01002698",14
"S01002699",29.9
"S01002700",33.9
"S01002701",1.8
"S01002702",26.4
"S01002703",19.1
"S01002704",9.6
"S01002705",17.8
"S01002706",30.8
"S01002707",34.9
"S01002708",16.1
"S01002709",31.5
"S01002710",8.1
"S01002711",31.8
"S01002712",24.7
"S01002713",37.3
"S01002714",34.2
"S01002715",21.3
"S01002716",8.9
"S01002717",6.9
"S01002718",40.1
"S01002719",15.1
"S01002720",NA
"S01002721",33.5
"S01002722",19.5
"S01002723",29.9
"S01002724",24.7
"S01002725",16.3
"S01002726",NA
"S01002727",4.9
"S01002728",22.3
"S01002729",8.7
"S01002730",15.1
"S01002731",31
"S01002732",14.6
"S01002733",4.6
"S01002734",18.6
"S01002735",16.1
"S01002736",18.2
"S01002737",14.7
"S01002738",12.9
"S01002739",11
"S01002740",10.8
"S01002741",11.5
"S01002742",27.7
"S01002743",46.3
"S01002744",NA
"S01002745",32.1
"S01002746",23.1
"S01002747",35.7
"S01002748",22.8
"S01002749",40.7
"S01002750",40.1
"S01002751",31
"S01002752",25.7
"S01002753",4.6
"S01002754",7.3
"S01002755",37.3
"S01002756",43.8
"S01002757",18.3
"S01002758",22.4
"S01002759",36.2
"S01002760",35.3
"S01002761",30.2
"S01002762",34.5
"S01002763",33.5
"S01002764",40
"S01002765",57.2
"S01002766",26.2
"S01002767",12.4
"S01002768",20.3
"S01002769",10.6
"S01002770",17.8
"S01002771",37.6
"S01002772",10.4
"S01002773",16.3
"S01002774",32.7
"S01002775",36.5
"S01002776",24.2
"S01002777",27.5
"S01002778",36.6
"S01002779",53.3
"S01002780",39.7
"S01002781",11.4
"S01002782",36.6
"S01002783",31.6
"S01002784",22.4
"S01002785",46.5
"S01002786",4
"S01002787",30.2
"S01002788",11.5
"S01002789",6.3
"S01002790",33.8
"S01002791",42.1
"S01002792",10.8
"S01002793",26.5
"S01002794",20.7
"S01002795",5
"S01002796",4.4
"S01002797",NA
"S01002798",28.6
"S01002799",19.2
"S01002800",7.7
"S01002801",39.1
"S01002802",5.6
"S01002803",15.3
"S01002804",22.6
"S01002805",35.8
"S01002806",7.5
"S01002807",25.8
"S01002808",37.6
"S01002809",27.5
"S01002810",19.3
"S01002811",21.5
"S01002812",4.8
"S01002813",28.2
"S01002814",38.6
"S01002815",32.1
"S01002816",36.4
"S01002817",26.9
"S01002818",30.1
"S01002819",40.2
"S01002820",44
"S01002821",25.3
"S01002822",41.8
"S01002823",51.2
"S01002824",19.9
"S01002825",32.9
"S01002826",25.3
"S01002827",35.4
"S01002828",20.5
"S01002829",30.2
"S01002830",19.2
"S01002831",21.9
"S01002832",33.9
"S01002833",9.6
"S01002834",25.8
"S01002835",28.2
"S01002836",36.2
"S01002837",34.2
"S01002838",35.1
"S01002839",51.6
"S01002840",14.3
"S01002841",4.3
"S01002842",45.9
"S01002843",51.2
"S01002844",9.7
"S01002845",23.6
"S01002846",11.2
"S01002847",20.2
"S01002848",25.5
"S01002849",24.4
"S01002850",27.2
"S01002851",16.2
"S01002852",37.5
"S01002853",73.5
"S01002854",30.4
"S01002855",58.4
"S01002856",52.7
"S01002857",7.8
"S01002858",9
"S01002859",40.2
"S01002860",15.7
"S01002861",23.5
